identifiant,type_de_logement,zonage_classification,facade_en_pieds,superficie_du_lot_pieds,type_de_route,acces_a_une_allee,forme_du_lot,topographie_du_terrain,services_publics_disponibles,configuration_du_lot,inclinaison_du_terrain,quartier,proximite_1ere_condition,proximite_2e_condition,type_de_batiment,style_de_maison,qualite_globale,etat_general,annee_de_construction,annee_de_renovation,style_de_toit,materiau_du_toit,revetement_exterieur_1,revetement_exterieur_2,type_de_parement_en_maconnerie,surface_de_parement_pieds,qualite_exterieure,etat_exterieur,type_de_fondation,qualite_du_sous_sol,etat_general_du_sous_sol,exposition_du_sous_sol,type_de_finition_sous_sol_1,surface_finie_sous_sol,type_de_finition_sous_sol_2,surface_finie_sous_sol_2,surface_non_finie_sous_sol,total_surface_sous_sol,type_de_chauffage,qualite_du_chauffage,climatisation_centrale,systeme_electrique,surface_du_premier_etage,surface_du_deuxieme_etage,surface_finie_basse_qualite_pieds,surface_habitable_totale,salles_de_bain_completes_sous_sol,demi_salles_de_bain_sous_sol,salles_de_bain_completes,demi_salles_de_bain,chambres_hors_sous_sol,cuisines_hors_sous_sol,qualite_de_la_cuisine,total_des_pieces_hors_sous_sol,fonctionnalite_globale,nombre_de_cheminees,qualite_de_la_cheminee,type_de_garage,annee_de_construction_du_garage,finition_interieure_du_garage,capacite_du_garage_voitures,surface_du_garage,qualite_du_garage,condition_du_garage,allee_pavee,surface_du_deck_en_bois,surface_du_porche_ouvert,porche_ferme,porche_trois_saisons,porche_screen,surface_de_la_piscine_pieds,qualite_de_la_piscine,cloture,caracteristiques_supplementaires,valeur_des_caracteristiques_supplementaires,mois_de_vente,annee_de_vente,type_de_vente,condition_de_la_vente,prix_de_vente,prix_de_vente_log,age_maison,age_renovation,age_garage,surface_totale,surface_totale_porches,total_salles_bain,presence_garage
11,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,70,11200,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Normale,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,1965,1965,Pente,Bardeau composite standard,Panneau dur,Panneau dur,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Salle de jeux,906,Non fini,0,134,1040.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1040,0,0,1040,1,0,1,0,3,1,Moyen,5,Typ,0,NA,Détaché de la maison,1965.0,Non aménagé,1,384,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Février,2008,Acte de garantie - Conventionnel,Vente normale,129500,11.771443882099636,43,43,43.0,2080.0,0,2.0,1
12,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,85,11924,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge Heights,Normale,Normale,Maison individuelle,Deux étages,Excellent,Moyenne,2005,2006,Pente,Bardeau composite standard,Bardeaux en bois,Wd Shng,Pierre,286,Excellent,Moyen,PConc,Excellent,Moyen,Aucune exposition,Fini - Excellent,998,Non fini,0,177,1175.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1182,1142,0,2324,1,0,3,0,4,1,Excellent,11,Typ,2,Bon - Cheminée en maçonnerie au rez-de-chaussée,"Garage intégré (fait partie de la maison, souvent avec une pièce au-dessus)",2005.0,Aménagé,3,736,Moyen,Moyen,Pavé,147,21,0,0,0,0,NA,NA,NA,0,Juillet,2006,Maison neuve construite et vendue,Maison incomplète,345000,12.75130259456002,1,0,1.0,3499.0,21,4.0,1
13,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,12968,Pavé,NA,Modérément irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1962,1962,Pente,Bardeau composite standard,Panneau dur,Contreplaqué,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,737,Non fini,0,175,912.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,912,0,0,912,1,0,1,0,2,1,Moyen,4,Typ,0,NA,Détaché de la maison,1962.0,Non aménagé,1,352,Moyen,Moyen,Pavé,140,0,0,0,176,0,NA,NA,NA,0,Septembre,2008,Acte de garantie - Conventionnel,Vente normale,144000,11.87757552297847,46,46,46.0,1824.0,176,2.0,1
14,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,91,10652,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Bon,Moyenne,2006,2007,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,306,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Non fini,0,Non fini,0,1494,1494.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1494,0,0,1494,0,0,2,0,3,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2006.0,Partiellement aménagé,3,840,Moyen,Moyen,Pavé,160,33,0,0,0,0,NA,NA,NA,0,Août,2007,Maison neuve construite et vendue,Maison incomplète,279500,12.54076114938842,1,0,1.0,2988.0,33,2.0,1
15,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,10920,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Moyenne,1960,1960,Pente,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Briques en façade,212,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Partiellement fini,733,Non fini,0,520,1253.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1253,0,0,1253,1,0,1,1,2,1,Moyen,5,Typ,1,Médiocre - Préfabriquée au sous-sol,Attaché à la maison,1960.0,Partiellement aménagé,1,352,Moyen,Moyen,Pavé,0,213,176,0,0,0,NA,Bonne qualité en bois,NA,0,Mai,2008,Acte de garantie - Conventionnel,Vente normale,157000,11.964007453736912,48,48,48.0,2506.0,389,2.5,1
16,1 ÉTAGE ET DEMI - NON AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,51,6120,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Brookside,Normale,Normale,Maison individuelle,"Un étage et demi, non aménagé",Bon,Très bon,1929,2001,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,832,832.0,Chauffage à gaz,Excellent,Oui,Fusibles anciens,854,0,0,854,0,0,1,0,2,1,Moyen,5,Typ,0,NA,Détaché de la maison,1991.0,Non aménagé,2,576,Moyen,Moyen,Pavé,48,112,0,0,0,0,NA,Bonne intimité,NA,0,Juillet,2007,Acte de garantie - Conventionnel,Vente normale,132000,11.790564777297387,78,6,16.0,1686.0,112,1.0,1
17,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,11241,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Bon,1970,1970,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Briques en façade,180,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,578,Non fini,0,426,1004.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1004,0,0,1004,1,0,1,0,2,1,Moyen,5,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1970.0,Aménagé,2,480,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,Abri,700,Mars,2010,Acte de garantie - Conventionnel,Vente normale,149000,11.91170829631447,40,40,40.0,2008.0,0,2.0,1
18,DUPLEX - TOUS STYLES ET ÂGES,Résidentiel basse densité,72,10791,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Normale,Normale,Duplex,Un étage,En dessous de la moyenne,Moyenne,1967,1967,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,Slab,NA,NA,NA,NA,0,NA,0,0,0.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1296,0,0,1296,0,0,2,0,2,2,Moyen,6,Typ,0,NA,Abris voiture,1967.0,Non aménagé,2,516,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,Abri,500,Octobre,2006,Acte de garantie - Conventionnel,Vente normale,90000,11.407576060361786,39,39,39.0,1296.0,0,2.0,1
19,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,66,13695,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer Ouest,Adjacente à une voie ferrée est-ouest,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,2004,2004,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Moyen,PConc,Moyen,Moyen,Aucune exposition,Fini - Excellent,646,Non fini,0,468,1114.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1114,0,0,1114,1,0,1,1,3,1,Bon,6,Typ,0,NA,Détaché de la maison,2004.0,Non aménagé,2,576,Moyen,Moyen,Pavé,0,102,0,0,0,0,NA,NA,NA,0,Juin,2008,Acte de garantie - Conventionnel,Vente normale,159000,11.976665770490769,4,4,4.0,2228.0,102,2.5,1
20,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,70,7560,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1958,1965,Pente,Bardeau composite standard,Brique apparente,Contreplaqué,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Qualité inférieure,504,Non fini,0,525,1029.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1339,0,0,1339,0,0,1,0,3,1,Moyen,6,Min1,0,NA,Attaché à la maison,1958.0,Non aménagé,1,294,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,Intimité minimale,NA,0,Mai,2009,Acte de l'officier judiciaire/Etat,Vente anormale,139000,11.842236406331557,51,44,51.0,2368.0,0,1.0,1
21,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,101,14215,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Northridge Heights,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,2005,2006,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,380,Bon,Moyen,PConc,Excellent,Moyen,Exposition au niveau moyen,Non fini,0,Non fini,0,1158,1158.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1158,1218,0,2376,0,0,3,1,4,1,Bon,9,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,"Garage intégré (fait partie de la maison, souvent avec une pièce au-dessus)",2005.0,Partiellement aménagé,3,853,Moyen,Moyen,Pavé,240,154,0,0,0,0,NA,NA,NA,0,Novembre,2006,Maison neuve construite et vendue,Maison incomplète,325300,12.692506186542175,1,0,1.0,3534.0,154,3.5,1
22,1 ÉTAGE ET DEMI - NON AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,57,7449,Pavé,Gravier,Régulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Iowa DOT et chemin de fer,Normale,Normale,Maison individuelle,"Un étage et demi, non aménagé",Bon,Bon,1930,1950,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Moyen,PConc,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,637,637.0,Chauffage à gaz,Excellent,Oui,Fusibles,1108,0,0,1108,0,0,1,0,3,1,Bon,6,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1930.0,Non aménagé,1,280,Moyen,Moyen,Gravier/Terre,0,0,205,0,0,0,NA,Bonne intimité,NA,0,Juin,2007,Acte de garantie - Conventionnel,Vente normale,139400,11.84510995088398,77,57,77.0,1745.0,205,1.0,1
23,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,75,9742,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Très bon,Moyenne,2002,2002,Pente,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,281,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,1777,1777.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1795,0,0,1795,0,0,2,0,3,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2002.0,Partiellement aménagé,2,534,Moyen,Moyen,Pavé,171,159,0,0,0,0,NA,NA,NA,0,Septembre,2008,Acte de garantie - Conventionnel,Vente normale,230000,12.345838935721968,6,6,6.0,3572.0,159,2.0,1
24,1 ÉTAGE PUD (Lotissement planifié) - 1946 ET PLUS RÉCENT,Résidentiel densité moyenne,44,4224,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Meadow Village,Normale,Normale,Maison de ville (bout),Un étage,Moyenne,Bon,1976,1976,Pignon,Bardeau composite standard,Panneau de ciment,Panneau de ciment,Aucune,0,Moyen,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,840,Non fini,0,200,1040.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1060,0,0,1060,1,0,1,0,3,1,Moyen,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1976.0,Non aménagé,2,572,Moyen,Moyen,Pavé,100,110,0,0,0,0,NA,NA,NA,0,Juin,2007,Acte de garantie - Conventionnel,Vente normale,129900,11.774527900858468,31,31,31.0,2100.0,110,2.0,1
25,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,8246,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Normale,Normale,Maison individuelle,Un étage,Moyenne,Très bon,1968,2001,Pignon,Bardeau composite standard,Contreplaqué,Contreplaqué,Aucune,0,Moyen,Bon,CBlock,Moyen,Moyen,Exposition moyenne,Fini - Salle de jeux,188,Fini - Moyenne,668,204,1060.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1060,0,0,1060,1,0,1,0,3,1,Bon,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1968.0,Non aménagé,1,270,Moyen,Moyen,Pavé,406,90,0,0,0,0,NA,Intimité minimale,NA,0,Mai,2010,Acte de garantie - Conventionnel,Vente normale,154000,11.944714374881176,42,9,42.0,2120.0,90,2.0,1
